"ubm_h_md_id";"md_ref";"md_title";"md_desc";"md_tp_id";"stat_id";"ubm_id";"derived_from_id";"ubm_vers_id";"ubm_obj_vers_id";"obj_vers_id";"s_id";"s_db_id";"s_usr_id";"s_ts";"m_db_id";"m_usr_id";"m_ts";"t_db_id";"t_usr_id";"t_ts";"previous_vers_id";"ubm_ref";"ubm_order_no"
0;"NO MODEL";"NO MODEL";"NO MODEL";0;0;0;0;0;0;0;0;0;0;"2014-01-01 00:00:00";0;0;"2014-01-01 00:00:00";0;0;"2014-01-01 00:00:00";0;"NO MODEL";0
1509;"MD-1";"WLFB";"WLFB Inc.";65;1;0;0;0;0;0;1509;3312;0;"2014-01-24 10:44:01.343";0;0;"";0;0;"";0;"MD";1
